ID,VALUE
0017000000tdYfnAAE,761
0017000000tdjKIAAY,165
0017000000tdjYoAAI,154 Million
0017000000tdjfgAAA,400
0017000000tfKXwAAM,150
0017000000tfPB8AAM,60
0017000000tfPKVAA2,135
0017000000tfXCkAAM,10000
0017000000tfsa2AAA,150
0017000000u2158AAA,14.7
0017000000u2VWAAA2,10
0017000000u2VZoAAM,40
0017000000u2ulqAAA,300 Mn
0017000000u3N0PAAU,250
0017000000u3Nc1AAE,300
0017000000u3Pl8AAE,750
0017000000u3huJAAQ,- $65 mm
0017000000u3iFyAAI,125
0017000000u3ow7AAA,2800
0017000000u4AOCAA2,194
0017000000u4PuPAAU,64
0017000000ugWOhAAM,600 + Balance Sheet
0017000000uha5ZAAQ,150
0017000000uiDfiAAE,$73.5mm
0017000000uiDeAAAU,479
0017000000uicnmAAA,52.1
0017000000uid5DAAQ,972
0017000000ujSPDAA2,194
0017000000ujSwZAAU,180
0017000000ujZi7AAE,173
0017000000ujZkNAAU,130
0017000000ukbvbAAA,60
0017000000ukjnRAAQ,NOK 6.0 bn / $1025 mm
0017000000ukqYnAAI,35 mm
0017000000uksTYAAY,70
0017000000ulB8AAAU,117
0017000000ulSmpAAE,‰âÂ130
0017000000vFgKKAA0,370
0017000000vFo6QAAS,100
0017000000vFzHIAA0,140
0017000000vG1iyAAC,500-600
0017000000vGQiKAAW,$147 mm
0017000000vHDUsAAO,171
0017000000vHIiIAAW,189.4
0017000000vHgn1AAC,2700
0017000000vHiMqAAK,182
0017000000viajpAAA,100
0017000000vjzUwAAI,11
0017000000vk0GFAAY,672.7
0017000000vk0IGAAY,664
0017000000vkAJmAAM,- $75 mm
0017000000vkAzOAAU,80
0017000000vkB4JAAU,100
0017000000vkklRAAQ,-‰âÂ115 mm (Approximately $128.7 mm)
0017000000vklavAAA,25
0017000000vkysrAAA,250
0017000000vkyyzAAA,- $70.7 mm
0017000000vkzaGAAQ,$75 mm
0017000000vl0TaAAI,EUR 1.2 bn
0017000000vlA0uAAE,200
0017000000vlBQHAA2,500
0017000000vlNylAAE,35
0017000000vmENSAA2,40
0017000000vmERLAA2,200
0017000000wKMD6AAO,- $180 mm
0017000000wKMfLAAW,250
0017000000wKNXIAA4,100 mm
0017000000wKNZTAA4,$50 mm
0017000000wKg1YAAS,125
0017000000wKsTwAAK,150
0017000000wKsVEAA0,50
